"AbdielIndivID","IndividualName","IndividualTitle"
"1168","Arena Jr., Robert Michael","Hartford Series Fund, Inc. - Hartford Global Growth HLS Fund - Chief Executive Officer and President"
"1184","Sulaksono, Endang Pratomo","PT Pool Advista Indonesia Tbk - President Director, Managing Director and Corporate Secretary"
"1278","Nesher, Robert A.","SEI Daily Income Trust - Government Fund - Chief Executive Officer, President and Interested Trustee"
"1353","Horwitz, Jonathan S.","Putnam New York Tax Exempt Income Fund - Principal Executive Officer, Executive Vice President and Principal Compliance Liaison"
"1363","Taylor, Philip Alexander","AIM Growth Series (Invesco Growth Series) - Invesco Balanced-Risk Retirement 2020 Fund - Head of Americas and Senior Managing Director"
"1392","Fhrling, Stephan ","Creaton AG - Chief Executive Officer and Member of Management Board"
"1397","Olson, Jeffrey S.","Gazit-Globe, Ltd. - Former Chief Executive Officer of Equity One, Inc"
"1401","Bond BComm, James R.","Kelso Technologies Inc. - Chief Executive Officer, President and Director"
"1402","Tjahyadi, Djonny Hartono","PT Enseval Putera Megatrading Tbk - President Director and Chairman of Risk Management Committee"
"1434","Freis, Mario ","OVB Holding AG - Chief Executive Officer and Member of Executive Board"
"1438","Varughese, Johnson ","Saudi United Cooperative Insurance Company - Chief Executive Officer"
"1442","Cao, Kuanping ","Huiyin Smart Community Co., Ltd. - Founder, Chairman, Chief Executive Officer and Member of Remuneration Committee"
"1448","Will, W. Anthony","Terra Industries Inc. - Former Director"
"1452","Fallacher, Jean-Franois ","Sofrecom S.A. - Former Chief Executive Officer"
"1453","Faruqui, Saad Saeed","Capital Assets Leasing Corp. Ltd. - Chief Executive Officer, Executive Director and Member of HR & Remuneration Committee"
"1459","Barnett, Roger ","Shaklee Global Group, Inc. - Representative Executive Chairman and Chief Executive Officer"
"1465","Greene BE (Hons), Ph.D., in Applied Physics, Benny Allan ","Electro Optic Systems Holdings Limited - Chief Executive Officer and Executive Director"
"1467","Bart, Frederick ","Electro Optic Systems Holdings Limited - Non Executive Chairman and Member of Remuneration Committee"
"1470","Fields, Randall K.","First Transaction Management Inc. - Former Director"
"1471","Dolan Prop, Robert E.","Morgan Group Holding Co. - Chief Financial Officer, Assistant Secretary and Director"
"1473","Larsen B.A., Thomas G.","Eloro Resources Ltd. - Chairman, Chief Executive Officer and President"
"1478","Onoe, Hirokazu ","Glory Ltd. - President and Representative Director"
"1498","Hasenfratz, Linda S.","Canadian Imperial Bank of Commerce - Independent Director and Chairman of Management Resources & Compensation Committee"
"1507","Molinaroli, Alex A.","Johnson Controls Inc. - Former Chairman, Chief Executive Officer, President and Chairman of Executive Committee"
"1514","Edwards, Jeffrey W.","Installed Building Products, Inc. - Chairman, Chief Executive Officer and President"
"1521","Bartkiewicz Mec, Brunon Cezary","ING Bank Slaski S.A. - President of Management Board and Chief Executive Officer"
"1531","Murtagh, Gene M.","Kingspan Group plc - Chief Executive Officer, Executive Director and Member of Nominations Committee"
"1541","Acker, Kevin J.","West Suburban Bancorp Inc. - Chairman, Chief Executive Officer and Senior Vice President of Marketing of West Suburban Bank"
"1544","Agee, Jeffrey D.","First Citizens Bancshares, Inc. - Chief Executive Officer, President, Director , Chief Executive Officer of First Citizens National Bank, President of First Citizens National Bank and Director of First Citizens National Bank"
"1549","Teague, A. James","Enterprise Products Operating LLC - Executive Vice President of Enterprise Products GP LLC"
"1557","Carano, Gary L.","Eldorado Resorts, Inc. - Chairman and Chief Executive Officer"
"1562","Suh, Kyung-Bae ","AmorePacific Group - Chairman of the Board, Chief Executive Officer and Member of Executive Committee"
"1567","Goodman LLB,CFA, David Jason","Dundee Corporation - Chief Executive Officer, President and Director"
"1576","Clancy Jr., John P.","Enterprise Bancorp Inc. - Chief Executive Officer, Director, Member of Strategic Planning Committee, Chief Executive Officer of Enterprise Bank & Trust Company and Director of Enterprise Bank & Trust Company"
"1581","Calder, Richard D.","Inphonic, Inc. - Former president"
"1646","Sprecher, Jeffrey C.","Intercontinental Exchange, Inc. - Founder, Chairman, Chief Executive Officer and Chairman of New York Stock Exchange"
"1648","Tan, Nestor V.","BDO Unibank, Inc. - Chief Executive Officer, President, Director, Member of Executive Committee, Member of Risk Management Committee, Member of Trust Committee and Member of Information Technology (IT) Steering Committee"
"1659","Alpert CPA, Bruce N.","The Gabelli Global Utility & Income Trust - Principal Executive Officer, President, President of Gabelli Advisers Inc and Director of Gabelli Advisers Inc"
"1679","Lopez, Marcos A.","Solium Capital Inc. - Chief Executive Officer, President, Managing Director and Director"
"1681","Okumura, Takanori ","Okumura Corp. - President and Representative Director"
"1683","Steinmann P.GEO, Michael ","Pan American Silver Corp. - Chief Executive Officer, President and Director"
"1691","Kite, John A.","Kite Realty Group Trust - Chairman and Chief Executive Officer"
"1715","Matsuda, Toshimichi ","FCC Co. Ltd. - President and Representative Director"
"1720","Cheng , Oon Teck ","Kingsmen Creatives Ltd. - Group Chief Executive Officer and Executive Director"
"1722","Popp, John G.","Credit Suisse Asset Management Income Fund, Inc. - Chief Executive Officer, President and Director"
"1724","Rouchon, Christian ","Credit Agricole Sud Rhone Alpes - Chief Executive Officer"
"1730","Mailoa, Teky ","PT Duta Pertiwi Tbk - Vice President Director"
"1734","Ansel, Jean-Paul ","Diagnostic Medical Systems S.A. - Chairman and Chief Executive Officer"
"1736","Chramy, Patrice ","Crdit Agricole Atlantique Vende - Chief Executive Officer"
"1742","Ouvrier-Buffet, Grard ","Caisse Regionale de Credit Agricole Mutuel de la Loire-Haute-Loire SA - Chief Executive Officer and Member of Loans Committee"
"1747","Colborne, Paul ","Surge Energy Inc. - Chief Executive Officer, President and Director"
"1753","Li, Juwen ","AVIC Jonhon Optronic Technology Co., Ltd. - General Manager and Chairman of Shenyang Xinghua Aviation Electrical Appliances Co Ltd"
"1755","Guo, Zeyi ","AVIC Jonhon Optronic Technology Co., Ltd. - Chairman and Deputy General Manager"
"1759","Frey, Antoine ","Frey SA - Chairman, Chief Executive Officer and Member of Investment Committee"
"1770","Nuti, William R.","NetSys Technologies - Senior Vice President-EMEA Operations"
"1783","Emslie BACC (Hons) CA, James Douglas","Tarsus Group plc - Group Managing Director, Member of Executive Board, Executive Director and Member of Disclosure Committee"
"1787","Maruyama, Katsunori ","SMC Corp. - President and Representative Director"
"1792","Staudigl, Rudolf ","Wacker Chemie AG - Chief Executive Officer, President and Member of Executive Board"
"1796","Takayama, Toshitaka ","Sanwa Holdings Corporation - Chairman and Chief Executive Officer"
"1801","Castillo-Olivares, Manuel Cubero del","Kabel Deutschland Holding AG - Chief Executive Officer and Member of the Management Board"
"1817","Palios, Simeon P.","Diana Containerships Inc. - Chairman of the Board, Chief Executive Officer and Chairman of Executive Committee"
"1842","Mohd, Seri Ir. Azman Bin","Tenaga Nasional Berhad - Chief Executive Officer, President, Chief Operating Officer, Non-Independent Executive Director, Member of Group Executive Management Committee, Member of Group Executive Council Committee and Member of Energy Supply Committee"
"1843","Takahashi, Kazuya ","Kyokuto Kaihatsu Kogyo Co. Ltd. - President, Chief Operating Officer and Representative Director"
"1855","Soong, Jan Hsung ","ECS ICT Berhad - Chief Executive Officer and Executive Director"
"1863","Fraser, Christopher T.","Tangoe, Inc. - Former Director"
"1869","Ma, Yeon-Soo ","NextEye Co., Ltd. - Chief Executive Officer"
"1878","Li, Tao ","Kingtone Wirelessinfo Solution Holding Ltd. - Chairman"
"1879","Zhang, Peng ","Kingtone Wirelessinfo Solution Holding Ltd. - Chief Executive Officer"
"1881","Zhang, Ruilin ","MIE Holdings Corporation - Chairman and Chief Executive Officer"
"1991","Allan, Barry ","Marret High Yield Strategies Fund - Chief Executive Officer of Marret Asset Management Inc, President of Marret Asset Management Inc, Chief Investment Officer of Marret Asset Management Inc and Director of Marret Asset Management Inc"
